 name:     zircon                                                 Feff 8.50L
 formula:  ZrSiO4
 sites:    Zr1,Si1,O1
 refer1:   wyckoff XII,157
 refer2:
 schoen:
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=14 Rmt= 0.991 Rnm= 1.189 K  shell
 Pot 1 Z=40 Rmt= 1.490 Rnm= 1.564
 Pot 2 Z=14 Rmt= 0.992 Rnm= 1.193
 Pot 3 Z= 8 Rmt= 0.932 Rnm= 1.037
 Gam_ch=4.153E-01 H-L exch
 Mu= 4.092E+00 kf=2.491E+00 Vint=-1.954E+01 Rs_int= 1.456
 PATH  Rmax= 4.400,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    2      icalc       2
 -----------------------------------------------------------------------
   3   4.000   2.8231    2.2389    4.09194 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  14 Si       absorbing atom
    -0.8562    0.8562   -1.0647  3   8 O     
     0.8562   -0.8562   -1.0647  3   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1452E+01  7.0052E-06 -9.1375E+00  1.003E+00  9.1411E+01  2.4908E+00
  0.100  1.1452E+01  9.3973E-03 -9.6922E+00  1.003E+00  9.1480E+01  2.4927E+00
  0.200  1.1450E+01  1.8694E-02 -1.0226E+01  1.003E+00  9.1667E+01  2.4984E+00
  0.300  1.1448E+01  2.7794E-02 -1.0739E+01  1.003E+00  9.1916E+01  2.5080E+00
  0.400  1.1444E+01  3.6611E-02 -1.1231E+01  1.003E+00  9.2132E+01  2.5213E+00
  0.500  1.1440E+01  4.5072E-02 -1.1703E+01  1.003E+00  9.2191E+01  2.5383E+00
  0.600  1.1434E+01  5.3118E-02 -1.2155E+01  1.003E+00  9.1940E+01  2.5589E+00
  0.700  1.1426E+01  6.0706E-02 -1.2588E+01  1.004E+00  9.1221E+01  2.5831E+00
  0.800  1.1417E+01  6.7810E-02 -1.3002E+01  1.004E+00  8.9885E+01  2.6108E+00
  0.900  1.1406E+01  7.4418E-02 -1.3396E+01  1.005E+00  8.7822E+01  2.6419E+00
  1.000  1.1393E+01  8.0531E-02 -1.3773E+01  1.006E+00  8.4981E+01  2.6762E+00
  1.100  1.1378E+01  8.6159E-02 -1.4131E+01  1.007E+00  8.1389E+01  2.7138E+00
  1.200  1.1361E+01  9.1318E-02 -1.4473E+01  1.008E+00  7.7148E+01  2.7544E+00
  1.300  1.1342E+01  9.6027E-02 -1.4797E+01  1.009E+00  7.2420E+01  2.7981E+00
  1.400  1.1320E+01  1.0030E-01 -1.5104E+01  1.011E+00  6.7400E+01  2.8447E+00
  1.500  1.1296E+01  1.0417E-01 -1.5396E+01  1.012E+00  6.2284E+01  2.8941E+00
  1.600  1.1269E+01  1.0763E-01 -1.5672E+01  1.014E+00  5.7250E+01  2.9464E+00
  1.700  1.1240E+01  1.1069E-01 -1.5932E+01  1.017E+00  5.2437E+01  3.0014E+00
  1.800  1.1207E+01  1.1334E-01 -1.6178E+01  1.019E+00  4.7942E+01  3.0591E+00
  1.900  1.1173E+01  1.1557E-01 -1.6409E+01  1.022E+00  4.3825E+01  3.1194E+00
  2.000  1.1135E+01  1.1735E-01 -1.6625E+01  1.024E+00  4.0115E+01  3.1824E+00
  2.200  1.1052E+01  1.1941E-01 -1.7016E+01  1.030E+00  3.3917E+01  3.3162E+00
  2.400  1.0957E+01  1.1918E-01 -1.7352E+01  1.035E+00  2.9243E+01  3.4607E+00
  2.600  1.0851E+01  1.1625E-01 -1.7635E+01  1.039E+00  2.5918E+01  3.6162E+00
  2.800  1.0715E+01  1.0876E-01 -1.7840E+01  1.042E+00  2.3730E+01  3.7929E+00
  3.000  1.0593E+01  1.1542E-01 -1.8086E+01  1.129E+00  1.1310E+01  3.9686E+00
  3.200  1.0553E+01  1.2046E-01 -1.8381E+01  1.180E+00  8.5844E+00  4.1077E+00
  3.400  1.0524E+01  1.1971E-01 -1.8680E+01  1.188E+00  7.5268E+00  4.2415E+00
  3.600  1.0471E+01  1.1371E-01 -1.8943E+01  1.182E+00  6.9789E+00  4.3852E+00
  3.800  1.0408E+01  1.0440E-01 -1.9183E+01  1.172E+00  6.6934E+00  4.5339E+00
  4.000  1.0343E+01  9.3523E-02 -1.9407E+01  1.161E+00  6.5564E+00  4.6872E+00
  4.200  1.0278E+01  8.2211E-02 -1.9618E+01  1.148E+00  6.5138E+00  4.8447E+00
  4.400  1.0213E+01  7.1219E-02 -1.9820E+01  1.136E+00  6.5364E+00  5.0060E+00
  4.600  1.0151E+01  6.1143E-02 -2.0013E+01  1.122E+00  6.6067E+00  5.1706E+00
  4.800  1.0091E+01  5.2045E-02 -2.0199E+01  1.110E+00  6.7138E+00  5.3384E+00
  5.000  1.0033E+01  4.4219E-02 -2.0377E+01  1.099E+00  6.8504E+00  5.5089E+00
  5.200  9.9763E+00  3.7596E-02 -2.0551E+01  1.088E+00  7.0113E+00  5.6820E+00
  5.400  9.9206E+00  3.2060E-02 -2.0718E+01  1.078E+00  7.1927E+00  5.8573E+00
  5.600  9.8652E+00  2.7447E-02 -2.0880E+01  1.069E+00  7.3920E+00  6.0346E+00
  5.800  9.8095E+00  2.3673E-02 -2.1038E+01  1.061E+00  7.6070E+00  6.2137E+00
  6.000  9.7532E+00  2.0602E-02 -2.1193E+01  1.055E+00  7.8361E+00  6.3944E+00
  6.500  9.6061E+00  1.5100E-02 -2.1557E+01  1.041E+00  8.4626E+00  6.8525E+00
  7.000  9.4499E+00  1.1409E-02 -2.1895E+01  1.030E+00  9.1552E+00  7.3177E+00
  7.500  9.2902E+00  8.6327E-03 -2.2223E+01  1.020E+00  9.9047E+00  7.7886E+00
  8.000  9.1358E+00  6.4617E-03 -2.2554E+01  1.010E+00  1.0705E+01  8.2639E+00
  8.500  8.9943E+00  4.8191E-03 -2.2889E+01  9.995E-01  1.1552E+01  8.7429E+00
  9.000  8.8686E+00  3.6336E-03 -2.3208E+01  9.904E-01  1.2442E+01  9.2247E+00
  9.500  8.7558E+00  2.7994E-03 -2.3488E+01  9.832E-01  1.3373E+01  9.7089E+00
 10.000  8.6491E+00  2.2073E-03 -2.3722E+01  9.783E-01  1.4344E+01  1.0195E+01
 11.000  8.4386E+00  1.4478E-03 -2.4127E+01  9.714E-01  1.6396E+01  1.1172E+01
 12.000  8.2274E+00  9.8869E-04 -2.4598E+01  9.613E-01  1.8589E+01  1.2154E+01
 13.000  8.0463E+00  6.8182E-04 -2.5058E+01  9.513E-01  2.0917E+01  1.3139E+01
 14.000  7.8839E+00  4.6302E-04 -2.5374E+01  9.459E-01  2.3375E+01  1.4126E+01
 15.000  7.7250E+00  3.3361E-04 -2.5593E+01  9.434E-01  2.5958E+01  1.5116E+01
 16.000  7.5790E+00  2.9154E-04 -2.5882E+01  9.412E-01  2.8663E+01  1.6107E+01
 17.000  7.4509E+00  2.5076E-04 -2.6297E+01  9.401E-01  3.1488E+01  1.7099E+01
 18.000  7.3291E+00  1.6907E-04 -2.6647E+01  9.404E-01  3.4428E+01  1.8093E+01
 19.000  7.2125E+00  1.1809E-04 -2.6811E+01  9.410E-01  3.7483E+01  1.9087E+01
 20.000  7.1075E+00  1.0394E-04 -2.7017E+01  9.414E-01  4.0650E+01  2.0082E+01
