 name:     zircon                                                 Feff 8.50L
 formula:  ZrSiO4
 sites:    Zr1,Si1,O1
 refer1:   wyckoff XII,157
 refer2:
 schoen:
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=14 Rmt= 0.991 Rnm= 1.189 K  shell
 Pot 1 Z=40 Rmt= 1.490 Rnm= 1.564
 Pot 2 Z=14 Rmt= 0.992 Rnm= 1.193
 Pot 3 Z= 8 Rmt= 0.932 Rnm= 1.037
 Gam_ch=4.153E-01 H-L exch
 Mu= 4.092E+00 kf=2.491E+00 Vint=-1.954E+01 Rs_int= 1.456
 PATH  Rmax= 4.400,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   12      icalc       2
 -----------------------------------------------------------------------
   2   4.000   3.6339    2.2389    4.09194 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  14 Si       absorbing atom
     2.3392    2.3392   -1.5038  2  14 Si    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1452E+01  4.6062E-06 -9.9660E+00  1.003E+00  9.1411E+01  2.4908E+00
  0.100  1.1452E+01  6.1789E-03 -1.0693E+01  1.003E+00  9.1480E+01  2.4927E+00
  0.200  1.1450E+01  1.2307E-02 -1.1420E+01  1.003E+00  9.1667E+01  2.4984E+00
  0.300  1.1448E+01  1.8416E-02 -1.2148E+01  1.003E+00  9.1916E+01  2.5080E+00
  0.400  1.1444E+01  2.4704E-02 -1.2876E+01  1.003E+00  9.2132E+01  2.5213E+00
  0.500  1.1440E+01  3.1602E-02 -1.3601E+01  1.003E+00  9.2191E+01  2.5383E+00
  0.600  1.1434E+01  3.9786E-02 -1.4315E+01  1.003E+00  9.1940E+01  2.5589E+00
  0.700  1.1426E+01  5.0100E-02 -1.5005E+01  1.004E+00  9.1221E+01  2.5831E+00
  0.800  1.1417E+01  6.3411E-02 -1.5661E+01  1.004E+00  8.9885E+01  2.6108E+00
  0.900  1.1406E+01  8.0455E-02 -1.6274E+01  1.005E+00  8.7822E+01  2.6419E+00
  1.000  1.1393E+01  1.0176E-01 -1.6842E+01  1.006E+00  8.4981E+01  2.6762E+00
  1.100  1.1378E+01  1.2764E-01 -1.7366E+01  1.007E+00  8.1389E+01  2.7138E+00
  1.200  1.1361E+01  1.5817E-01 -1.7848E+01  1.008E+00  7.7148E+01  2.7544E+00
  1.300  1.1342E+01  1.9323E-01 -1.8293E+01  1.009E+00  7.2420E+01  2.7981E+00
  1.400  1.1320E+01  2.3248E-01 -1.8703E+01  1.011E+00  6.7400E+01  2.8447E+00
  1.500  1.1296E+01  2.7538E-01 -1.9082E+01  1.012E+00  6.2284E+01  2.8941E+00
  1.600  1.1269E+01  3.2119E-01 -1.9433E+01  1.014E+00  5.7250E+01  2.9464E+00
  1.700  1.1240E+01  3.6901E-01 -1.9759E+01  1.017E+00  5.2437E+01  3.0014E+00
  1.800  1.1207E+01  4.1782E-01 -2.0060E+01  1.019E+00  4.7942E+01  3.0591E+00
