 La2CuO4, Radaelli et al, PRB 49(6) 4163 (1994)                   Feff 8.50L
 doi:10.1103/PhysRevB.49.4163
 POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=29 Rmt= 1.205 Rnm= 1.322 K  shell
 Pot 1 Z=57 Rmt= 1.755 Rnm= 1.830
 Pot 2 Z=29 Rmt= 1.175 Rnm= 1.252
 Pot 3 Z= 8 Rmt= 1.031 Rnm= 1.081
 Gam_ch=1.729E+00 H-L exch
 Mu=-8.214E+00 kf=2.053E+00 Vint=-1.954E+01 Rs_int= 1.767
 PATH  Rmax= 4.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    2      icalc       2
 -----------------------------------------------------------------------
   2   2.000   2.4277    2.6485   -8.21387 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  29 Cu       absorbing atom
    -0.0000    0.1852    2.4206  3   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.6359E+00  7.1327E-04 -3.6604E+00  9.772E-01  1.5205E+01  1.7253E+00
  0.100  3.6369E+00  2.1925E-01 -4.1324E+00  9.774E-01  1.5230E+01  1.7281E+00
  0.200  3.6397E+00  4.3485E-01 -4.5822E+00  9.778E-01  1.5301E+01  1.7363E+00
  0.300  3.6443E+00  6.4343E-01 -5.0087E+00  9.786E-01  1.5416E+01  1.7501E+00
  0.400  3.6505E+00  8.4211E-01 -5.4123E+00  9.798E-01  1.5566E+01  1.7691E+00
  0.500  3.6579E+00  1.0286E+00 -5.7937E+00  9.812E-01  1.5742E+01  1.7933E+00
  0.600  3.6663E+00  1.2014E+00 -6.1537E+00  9.830E-01  1.5931E+01  1.8225E+00
  0.700  3.6751E+00  1.3595E+00 -6.4932E+00  9.851E-01  1.6119E+01  1.8565E+00
  0.800  3.6840E+00  1.5028E+00 -6.8130E+00  9.876E-01  1.6291E+01  1.8949E+00
  0.900  3.6923E+00  1.6315E+00 -7.1141E+00  9.904E-01  1.6431E+01  1.9377E+00
  1.000  3.6995E+00  1.7462E+00 -7.3971E+00  9.936E-01  1.6523E+01  1.9846E+00
  1.100  3.7050E+00  1.8478E+00 -7.6627E+00  9.972E-01  1.6556E+01  2.0355E+00
  1.200  3.7081E+00  1.9371E+00 -7.9116E+00  1.001E+00  1.6519E+01  2.0900E+00
  1.300  3.7083E+00  2.0153E+00 -8.1443E+00  1.006E+00  1.6409E+01  2.1480E+00
  1.400  3.7050E+00  2.0832E+00 -8.3611E+00  1.010E+00  1.6225E+01  2.2095E+00
  1.500  3.6976E+00  2.1416E+00 -8.5625E+00  1.016E+00  1.5973E+01  2.2743E+00
  1.600  3.6856E+00  2.1913E+00 -8.7484E+00  1.021E+00  1.5664E+01  2.3424E+00
  1.700  3.6684E+00  2.2328E+00 -8.9191E+00  1.028E+00  1.5312E+01  2.4136E+00
  1.800  3.6456E+00  2.2664E+00 -9.0746E+00  1.034E+00  1.4933E+01  2.4879E+00
  1.900  3.6167E+00  2.2922E+00 -9.2147E+00  1.040E+00  1.4546E+01  2.5655E+00
  2.000  3.5813E+00  2.3101E+00 -9.3395E+00  1.046E+00  1.4170E+01  2.6462E+00
  2.200  3.4895E+00  2.3205E+00 -9.5421E+00  1.058E+00  1.3535E+01  2.8178E+00
  2.400  3.3410E+00  2.2772E+00 -9.6490E+00  1.065E+00  1.3193E+01  3.0142E+00
  2.600  3.2190E+00  2.4797E+00 -9.7888E+00  1.221E+00  7.5322E+00  3.2056E+00
  2.800  3.2074E+00  2.6016E+00 -1.0048E+01  1.276E+00  6.2464E+00  3.3479E+00
  3.000  3.1769E+00  2.6364E+00 -1.0284E+01  1.296E+00  5.6936E+00  3.4907E+00
  3.200  3.1179E+00  2.6044E+00 -1.0485E+01  1.297E+00  5.4427E+00  3.6429E+00
  3.400  3.0450E+00  2.5258E+00 -1.0664E+01  1.288E+00  5.3482E+00  3.8005E+00
  3.600  2.9626E+00  2.4087E+00 -1.0826E+01  1.271E+00  5.3471E+00  3.9630E+00
  3.800  2.8730E+00  2.2723E+00 -1.0975E+01  1.251E+00  5.4080E+00  4.1297E+00
  4.000  2.7798E+00  2.1223E+00 -1.1116E+01  1.232E+00  5.5135E+00  4.3002E+00
  4.200  2.6844E+00  1.9709E+00 -1.1251E+01  1.208E+00  5.6529E+00  4.4740E+00
  4.400  2.5880E+00  1.8233E+00 -1.1377E+01  1.188E+00  5.8192E+00  4.6508E+00
  4.600  2.4921E+00  1.6803E+00 -1.1500E+01  1.168E+00  6.0078E+00  4.8301E+00
  4.800  2.3970E+00  1.5471E+00 -1.1617E+01  1.149E+00  6.2153E+00  5.0116E+00
  5.000  2.3020E+00  1.4234E+00 -1.1725E+01  1.131E+00  6.4391E+00  5.1952E+00
  5.200  2.2079E+00  1.3094E+00 -1.1828E+01  1.116E+00  6.6774E+00  5.3804E+00
  5.400  2.1148E+00  1.2041E+00 -1.1926E+01  1.102E+00  6.9287E+00  5.5672E+00
  5.600  2.0217E+00  1.1069E+00 -1.2016E+01  1.089E+00  7.1918E+00  5.7553E+00
  5.800  1.9288E+00  1.0176E+00 -1.2102E+01  1.077E+00  7.4657E+00  5.9445E+00
  6.000  1.8357E+00  9.3660E-01 -1.2186E+01  1.067E+00  7.7497E+00  6.1348E+00
  6.500  1.6022E+00  7.6859E-01 -1.2386E+01  1.044E+00  8.4998E+00  6.6143E+00
  7.000  1.3706E+00  6.4394E-01 -1.2582E+01  1.026E+00  9.3014E+00  7.0980E+00
  7.500  1.1475E+00  5.5246E-01 -1.2776E+01  1.009E+00  1.0149E+01  7.5848E+00
  8.000  9.3797E-01  4.8086E-01 -1.2958E+01  9.955E-01  1.1039E+01  8.0741E+00
  8.500  7.4271E-01  4.1873E-01 -1.3121E+01  9.845E-01  1.1969E+01  8.5653E+00
  9.000  5.5993E-01  3.6248E-01 -1.3264E+01  9.758E-01  1.2935E+01  9.0580E+00
  9.500  3.7799E-01  3.1528E-01 -1.3399E+01  9.686E-01  1.3936E+01  9.5518E+00
 10.000  2.0302E-01  2.7962E-01 -1.3535E+01  9.602E-01  1.4971E+01  1.0047E+01
 11.000 -1.3383E-01  2.3143E-01 -1.3792E+01  9.445E-01  1.7137E+01  1.1038E+01
 12.000 -4.4117E-01  1.8797E-01 -1.4013E+01  9.343E-01  1.9422E+01  1.2032E+01
 13.000 -7.2716E-01  1.5173E-01 -1.4216E+01  9.294E-01  2.1820E+01  1.3027E+01
 14.000 -9.9440E-01  1.2876E-01 -1.4388E+01  9.265E-01  2.4326E+01  1.4023E+01
 15.000 -1.2387E+00  1.0507E-01 -1.4508E+01  9.253E-01  2.6933E+01  1.5020E+01
 16.000 -1.4673E+00  8.5256E-02 -1.4540E+01  9.255E-01  2.9638E+01  1.6018E+01
 17.000 -1.6813E+00  7.9336E-02 -1.4495E+01  9.262E-01  3.2437E+01  1.7016E+01
 18.000 -1.8793E+00  7.9019E-02 -1.4493E+01  9.272E-01  3.5326E+01  1.8014E+01
 19.000 -2.0661E+00  7.8305E-02 -1.4554E+01  9.287E-01  3.8301E+01  1.9012E+01
 20.000 -2.2412E+00  8.0638E-02 -1.4626E+01  9.300E-01  4.1360E+01  2.0011E+01
