 Uraninite                                                        Feff 8.50L
 Wyckoff, R. W. G.
 Second edition. Interscience Publishers, New York, New York
 Fluorite structure
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=92 Rmt= 1.631 Rnm= 1.711 L3 shell
 Pot 1 Z=92 Rmt= 1.636 Rnm= 1.717
 Pot 2 Z= 8 Rmt= 1.044 Rnm= 1.096
 Gam_ch=8.104E+00 H-L exch
 Mu=-6.404E-01 kf=2.192E+00 Vint=-1.895E+01 Rs_int= 1.655
 PATH  Rmax= 5.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   11      icalc       2
 -----------------------------------------------------------------------
   4  24.000   4.7356    2.5893   -0.64041 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  92 U        absorbing atom
    -1.3671   -1.3671   -1.3671  2   8 O     
    -0.0000   -0.0000   -0.0000  0  92 U     
     1.3671   -1.3671   -1.3671  2   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  1.5091E+01  8.3359E-06 -1.3095E+01  7.855E-01  4.1470E+00  2.2052E+00
  0.100  1.5093E+01  1.4053E-02 -1.4024E+01  7.875E-01  4.1510E+00  2.2073E+00
  0.200  1.5097E+01  2.7852E-02 -1.4920E+01  7.934E-01  4.1630E+00  2.2138E+00
  0.300  1.5104E+01  4.1158E-02 -1.5781E+01  8.030E-01  4.1828E+00  2.2244E+00
  0.400  1.5112E+01  5.3814E-02 -1.6608E+01  8.161E-01  4.2098E+00  2.2393E+00
  0.500  1.5123E+01  6.5526E-02 -1.7402E+01  8.323E-01  4.2437E+00  2.2583E+00
  0.600  1.5133E+01  7.6196E-02 -1.8163E+01  8.510E-01  4.2836E+00  2.2813E+00
  0.700  1.5144E+01  8.5722E-02 -1.8891E+01  8.718E-01  4.3288E+00  2.3082E+00
  0.800  1.5154E+01  9.4046E-02 -1.9588E+01  8.941E-01  4.3784E+00  2.3389E+00
  0.900  1.5162E+01  1.0115E-01 -2.0253E+01  9.173E-01  4.4314E+00  2.3734E+00
  1.000  1.5168E+01  1.0705E-01 -2.0888E+01  9.408E-01  4.4867E+00  2.4115E+00
  1.100  1.5170E+01  1.1180E-01 -2.1493E+01  9.643E-01  4.5433E+00  2.4531E+00
  1.200  1.5170E+01  1.1546E-01 -2.2068E+01  9.871E-01  4.6001E+00  2.4980E+00
