 La2CuO4, Radaelli et al, PRB 49(6) 4163 (1994)                   Feff 8.50L
 doi:10.1103/PhysRevB.49.4163
 POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=29 Rmt= 1.205 Rnm= 1.322 K  shell
 Pot 1 Z=57 Rmt= 1.755 Rnm= 1.830
 Pot 2 Z=29 Rmt= 1.175 Rnm= 1.252
 Pot 3 Z= 8 Rmt= 1.031 Rnm= 1.081
 Gam_ch=1.729E+00 H-L exch
 Mu=-8.214E+00 kf=2.053E+00 Vint=-1.954E+01 Rs_int= 1.767
 PATH  Rmax= 4.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   12      icalc       2
 -----------------------------------------------------------------------
   3   4.000   3.8061    2.6485   -8.21387 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  29 Cu       absorbing atom
    -2.6787   -2.7003   -0.0000  2  29 Cu    
    -1.3393   -1.3501    0.1000  3   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.6359E+00  4.1576E-04 -4.9921E+00  9.772E-01  1.5205E+01  1.7253E+00
  0.100  3.6369E+00  1.2720E-01 -5.7339E+00  9.774E-01  1.5230E+01  1.7281E+00
  0.200  3.6397E+00  2.4891E-01 -6.4445E+00  9.778E-01  1.5301E+01  1.7363E+00
  0.300  3.6443E+00  3.6052E-01 -7.1222E+00  9.786E-01  1.5416E+01  1.7501E+00
  0.400  3.6505E+00  4.5894E-01 -7.7680E+00  9.798E-01  1.5566E+01  1.7691E+00
  0.500  3.6579E+00  5.4276E-01 -8.3830E+00  9.812E-01  1.5742E+01  1.7933E+00
  0.600  3.6663E+00  6.1203E-01 -8.9683E+00  9.830E-01  1.5931E+01  1.8225E+00
  0.700  3.6751E+00  6.6782E-01 -9.5247E+00  9.851E-01  1.6119E+01  1.8565E+00
  0.800  3.6840E+00  7.1171E-01 -1.0053E+01  9.876E-01  1.6291E+01  1.8949E+00
  0.900  3.6923E+00  7.4542E-01 -1.0554E+01  9.904E-01  1.6431E+01  1.9377E+00
  1.000  3.6995E+00  7.7051E-01 -1.1029E+01  9.936E-01  1.6523E+01  1.9846E+00
  1.100  3.7050E+00  7.8806E-01 -1.1477E+01  9.972E-01  1.6556E+01  2.0355E+00
  1.200  3.7081E+00  7.9910E-01 -1.1899E+01  1.001E+00  1.6519E+01  2.0900E+00
  1.300  3.7083E+00  8.0427E-01 -1.2297E+01  1.006E+00  1.6409E+01  2.1480E+00
  1.400  3.7050E+00  8.0398E-01 -1.2670E+01  1.010E+00  1.6225E+01  2.2095E+00
  1.500  3.6976E+00  7.9839E-01 -1.3018E+01  1.016E+00  1.5973E+01  2.2743E+00
  1.600  3.6856E+00  7.8770E-01 -1.3342E+01  1.021E+00  1.5664E+01  2.3424E+00
  1.700  3.6684E+00  7.7189E-01 -1.3642E+01  1.028E+00  1.5312E+01  2.4136E+00
  1.800  3.6456E+00  7.5089E-01 -1.3918E+01  1.034E+00  1.4933E+01  2.4879E+00
  1.900  3.6167E+00  7.2464E-01 -1.4168E+01  1.040E+00  1.4546E+01  2.5655E+00
  2.000  3.5813E+00  6.9311E-01 -1.4391E+01  1.046E+00  1.4170E+01  2.6462E+00
  2.200  3.4895E+00  6.1433E-01 -1.4752E+01  1.058E+00  1.3535E+01  2.8178E+00
  2.400  3.3410E+00  5.0429E-01 -1.4907E+01  1.065E+00  1.3193E+01  3.0142E+00
  2.600  3.2190E+00  4.2716E-01 -1.5155E+01  1.221E+00  7.5322E+00  3.2056E+00
  2.800  3.2074E+00  3.6841E-01 -1.5594E+01  1.276E+00  6.2464E+00  3.3479E+00
  3.000  3.1769E+00  3.0296E-01 -1.5883E+01  1.296E+00  5.6936E+00  3.4907E+00
  3.200  3.1179E+00  2.5842E-01 -1.5856E+01  1.297E+00  5.4427E+00  3.6429E+00
  3.400  3.0450E+00  2.8647E-01 -1.5654E+01  1.288E+00  5.3482E+00  3.8005E+00
  3.600  2.9626E+00  4.0162E-01 -1.5588E+01  1.271E+00  5.3471E+00  3.9630E+00
  3.800  2.8730E+00  5.5456E-01 -1.5665E+01  1.251E+00  5.4080E+00  4.1297E+00
  4.000  2.7798E+00  7.2513E-01 -1.5811E+01  1.232E+00  5.5135E+00  4.3002E+00
  4.200  2.6844E+00  8.9341E-01 -1.5965E+01  1.208E+00  5.6529E+00  4.4740E+00
  4.400  2.5880E+00  1.0507E+00 -1.6118E+01  1.188E+00  5.8192E+00  4.6508E+00
  4.600  2.4921E+00  1.1909E+00 -1.6264E+01  1.168E+00  6.0078E+00  4.8301E+00
  4.800  2.3970E+00  1.3130E+00 -1.6401E+01  1.149E+00  6.2153E+00  5.0116E+00
  5.000  2.3020E+00  1.4135E+00 -1.6524E+01  1.131E+00  6.4391E+00  5.1952E+00
  5.200  2.2079E+00  1.4962E+00 -1.6640E+01  1.116E+00  6.6774E+00  5.3804E+00
  5.400  2.1148E+00  1.5642E+00 -1.6750E+01  1.102E+00  6.9287E+00  5.5672E+00
  5.600  2.0217E+00  1.6174E+00 -1.6849E+01  1.089E+00  7.1918E+00  5.7553E+00
  5.800  1.9288E+00  1.6607E+00 -1.6943E+01  1.077E+00  7.4657E+00  5.9445E+00
  6.000  1.8357E+00  1.6953E+00 -1.7032E+01  1.067E+00  7.7497E+00  6.1348E+00
  6.500  1.6022E+00  1.7465E+00 -1.7228E+01  1.044E+00  8.4998E+00  6.6143E+00
  7.000  1.3706E+00  1.7443E+00 -1.7398E+01  1.026E+00  9.3014E+00  7.0980E+00
  7.500  1.1475E+00  1.6858E+00 -1.7552E+01  1.009E+00  1.0149E+01  7.5848E+00
  8.000  9.3797E-01  1.5869E+00 -1.7698E+01  9.955E-01  1.1039E+01  8.0741E+00
  8.500  7.4271E-01  1.4695E+00 -1.7839E+01  9.845E-01  1.1969E+01  8.5653E+00
  9.000  5.5993E-01  1.3482E+00 -1.7971E+01  9.758E-01  1.2935E+01  9.0580E+00
  9.500  3.7799E-01  1.2291E+00 -1.8101E+01  9.686E-01  1.3936E+01  9.5518E+00
 10.000  2.0302E-01  1.1120E+00 -1.8232E+01  9.602E-01  1.4971E+01  1.0047E+01
 11.000 -1.3383E-01  8.9646E-01 -1.8498E+01  9.445E-01  1.7137E+01  1.1038E+01
 12.000 -4.4117E-01  7.2349E-01 -1.8757E+01  9.343E-01  1.9422E+01  1.2032E+01
 13.000 -7.2716E-01  5.8834E-01 -1.9007E+01  9.294E-01  2.1820E+01  1.3027E+01
 14.000 -9.9440E-01  4.7951E-01 -1.9254E+01  9.265E-01  2.4326E+01  1.4023E+01
 15.000 -1.2387E+00  3.9456E-01 -1.9482E+01  9.253E-01  2.6933E+01  1.5020E+01
 16.000 -1.4673E+00  3.2696E-01 -1.9690E+01  9.255E-01  2.9638E+01  1.6018E+01
 17.000 -1.6813E+00  2.7235E-01 -1.9878E+01  9.262E-01  3.2437E+01  1.7016E+01
 18.000 -1.8793E+00  2.2829E-01 -2.0034E+01  9.272E-01  3.5326E+01  1.8014E+01
 19.000 -2.0661E+00  1.9451E-01 -2.0171E+01  9.287E-01  3.8301E+01  1.9012E+01
 20.000 -2.2412E+00  1.6923E-01 -2.0291E+01  9.300E-01  4.1360E+01  2.0011E+01
