 Copper example                                                   Feff 8.50L
 POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=29 Rmt= 1.449 Rnm= 1.502 K  shell
 Pot 1 Z=29 Rmt= 1.354 Rnm= 1.391
 Gam_ch=1.729E+00 H-L exch
 Mu=-7.964E+00 kf=1.982E+00 Vint=-1.706E+01 Rs_int= 1.830
 PATH  Rmax= 5.200,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    3      icalc       2
 -----------------------------------------------------------------------
   3  48.000   3.8290    2.6317   -7.96446 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  29 Cu       absorbing atom
     1.8050   -0.0000   -1.8050  1  29 Cu    
     1.8050   -1.8050   -0.0000  1  29 Cu    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.8237E+00  3.5704E-06 -2.5726E+00  9.628E-01  1.3636E+01  1.5471E+00
  0.100  3.8253E+00  7.7388E-03 -3.3232E+00  9.632E-01  1.3663E+01  1.5502E+00
  0.200  3.8299E+00  1.4813E-02 -4.0429E+00  9.642E-01  1.3743E+01  1.5595E+00
  0.300  3.8374E+00  2.0715E-02 -4.7333E+00  9.658E-01  1.3871E+01  1.5748E+00
  0.400  3.8473E+00  2.5179E-02 -5.3961E+00  9.680E-01  1.4040E+01  1.5959E+00
  0.500  3.8590E+00  2.8186E-02 -6.0326E+00  9.709E-01  1.4239E+01  1.6227E+00
  0.600  3.8718E+00  2.9885E-02 -6.6438E+00  9.742E-01  1.4455E+01  1.6549E+00
  0.700  3.8850E+00  3.0502E-02 -7.2299E+00  9.781E-01  1.4674E+01  1.6923E+00
  0.800  3.8976E+00  3.0262E-02 -7.7906E+00  9.823E-01  1.4880E+01  1.7344E+00
  0.900  3.9088E+00  2.9277E-02 -8.3254E+00  9.870E-01  1.5054E+01  1.7811E+00
  1.000  3.9178E+00  2.7764E-02 -8.8325E+00  9.920E-01  1.5183E+01  1.8322E+00
  1.100  3.9235E+00  2.5716E-02 -9.3116E+00  9.974E-01  1.5253E+01  1.8872E+00
  1.200  3.9254E+00  2.3152E-02 -9.7621E+00  1.003E+00  1.5255E+01  1.9460E+00
  1.300  3.9227E+00  2.0059E-02 -1.0183E+01  1.009E+00  1.5184E+01  2.0085E+00
  1.400  3.9147E+00  1.6426E-02 -1.0574E+01  1.016E+00  1.5041E+01  2.0745E+00
  1.500  3.9010E+00  1.2269E-02 -1.0929E+01  1.022E+00  1.4832E+01  2.1438E+00
  1.600  3.8812E+00  7.6120E-03 -1.1228E+01  1.029E+00  1.4569E+01  2.2163E+00
  1.700  3.8548E+00  2.6361E-03 -1.1271E+01  1.037E+00  1.4266E+01  2.2921E+00
  1.800  3.8216E+00  3.3332E-03 -9.2234E+00  1.044E+00  1.3940E+01  2.3711E+00
  1.900  3.7812E+00  8.9378E-03 -9.2960E+00  1.051E+00  1.3613E+01  2.4534E+00
  2.000  3.7334E+00  1.4711E-02 -9.5191E+00  1.058E+00  1.3303E+01  2.5390E+00
  2.200  3.6157E+00  2.6060E-02 -9.9709E+00  1.069E+00  1.2825E+01  2.7207E+00
  2.400  3.4252E+00  3.5359E-02 -1.0316E+01  1.100E+00  1.1075E+01  2.9342E+00
  2.600  3.3445E+00  5.9063E-02 -1.0825E+01  1.265E+00  6.6670E+00  3.1074E+00
  2.800  3.3374E+00  7.4331E-02 -1.1345E+01  1.306E+00  5.8165E+00  3.2478E+00
  3.000  3.2954E+00  8.4869E-02 -1.1883E+01  1.314E+00  5.4221E+00  3.3979E+00
  3.200  3.2347E+00  9.1836E-02 -1.2400E+01  1.307E+00  5.2594E+00  3.5546E+00
  3.400  3.1623E+00  9.6188E-02 -1.2901E+01  1.291E+00  5.2208E+00  3.7165E+00
  3.600  3.0828E+00  9.9887E-02 -1.3369E+01  1.270E+00  5.2597E+00  3.8829E+00
  3.800  2.9967E+00  1.0180E-01 -1.3798E+01  1.248E+00  5.3517E+00  4.0535E+00
